Class,H3K27ac,H3K4me1,H3K4me3,H3K9me3,Brd4,Cdk8,Cdk9,Med12,p300,CBP,Pol2,Lsd1,Brg1,Smc1,Nipbl,Mi2b,CHD7,HDAC2,HDAC,DNaseI,Oct4,Sox2,Nanog,Smad3,Stat3,Tcf3,Esrrb,Klf4,Prdm14,Tcfcp2I1,Nr5a2,AT_content,GC_content,phastCons,phastConsP,repeat_fraction,length
SE,2.1393,1.2936,0.089,0,7.4648,3.1608,1.6011,5.3754,8.4419,1.1365,2.5867,1.6538,0.6949,1.0198,0.4958,0.8944,1.6834,2.0294,0.4062,2.2602,0.6845,1.0723,0.556,1.3367,0,0.5442,0.2284,0,1.4594,0.0437,0.0556,0.4883,0.5117,0.091342,0.109924,0.034321,641
SE,3.4418,1.1907,0.5262,0.5999,10.6546,5.0842,3.0651,9.371,1.7463,4.3563,6.7313,1.74,0.9336,0.4363,0.686,0.8762,1.64,0.2859,0,2.7951,1.3247,1.5459,0.9976,1.3895,1.2386,0.3479,2.0251,0.5813,6.2555,0.8263,0.7002,0.528759,0.471241,0.051845,0.051848,0.435923,991
SE,1.2805,0.517,0.0915,0,0.6026,0.3519,0.5403,0.8452,0.7478,0.1685,0.0658,0.8431,0.1193,0.6586,0.2467,0.7483,0.6626,0.4148,0.7127,0.4849,0.6242,1.1825,1.116,0.1551,0.0462,0.1875,0.4109,0,0.4296,0.0193,1.4075,0.49577,0.50423,0.027041,0.027043,0.414552,591
SE,3.5603,0.4754,1.7825,0,1.201,0.7285,1.0923,0.9547,1.6339,1.9895,0.0957,1.0943,0.6533,0.461,0.3709,0.6909,1.3453,0.7271,0.9714,1.1315,1.137,0.5349,0.5574,0.4386,0,0.0991,0.6083,0.5518,0.7183,0.3339,0,0.5089,0.4911,0.084121,0.076768,0.533172,1236
SE,4.0793,1.0094,0.8107,0.031,2.3817,1.6541,1.5225,2.1255,1.9425,2.2095,0.8966,1.5611,1.1683,0.5599,0.601,1.4992,1.8062,0.9844,0.8858,1.3819,1.3494,1.172,1.2922,1.599,0.347,0.8693,2.8678,0.455,5.4503,0.7032,0.0904,0.50788,0.49212,0.240177,0.241038,0.320201,1396
SE,1.2729,0.194,1.6769,0,0.2986,0.7402,0.6389,0.7103,0.3261,0.4996,0.048,0.638,0.4485,0.3412,0.2806,0.2913,0.7923,0.3312,0.4301,0.4106,0.6595,0.9016,2.0663,0.0702,0,0.213,0,0.0028,2.612,11.6685,0.3618,0.515827,0.484174,0.170436,0.185922,0.123095,853
SE,4.1313,0.7483,0.4456,0,3.1675,2.2179,2.7165,5.3915,9.8914,4.1993,4.4469,3.5856,1.7061,1.0042,1.0084,1.1774,1.2932,0.3724,0.4703,1.0361,0.9794,1.3312,1.1884,1.8375,0.4661,0.4029,0.6769,1.3139,0.4613,0.9873,0,0.494597,0.505403,0.093817,0.093819,0.383209,1203
SE,6.3515,0.4441,0.684,0,2.058,2.1479,1.4468,6.795,9.0544,4.5528,2.362,2.747,1.5023,1.1578,0.915,0.58,1.6133,0.8125,0.5365,0.7152,1.1275,1.1465,1.2856,3.7022,0.2053,0.562,2.5299,0.7442,0.8461,11.9864,0.0355,0.451311,0.548689,0.072542,0.066539,0,1068
SE,1.3538,0.9049,1.0887,0.074,1.0143,0.4807,1.2889,0.7511,1.213,0.7646,0.0972,1.2509,0.077,0.3256,0.1932,1.1537,1.714,0.5946,0.1681,0.4824,1.1226,0.4698,0.3661,0.473,0.1682,0.828,0.0515,0.3146,0.5879,0.3954,0,0.502879,0.497121,0.583017,0.595274,0,521
SE,3.6166,1.3813,0.4814,0,1.5307,1.7018,1.4055,1.9858,4.1117,1.61,1.1014,1.6455,1.2743,0.4164,0.3193,0.4643,1.1614,1.1383,0.4745,0.896,0.9627,0.7193,0.4725,0.7554,0,0.5453,3.5202,0.4575,0.9719,1.5871,0.1828,0.454641,0.545359,0.186597,0.186597,0.123418,948
